NombreEquipo,NombreJugador,PrecioJugador,FechaNacimiento,Edad,Nacionalidad,Altura,Posicion,PartidosJugados,ValoracionPromedio,TotalGoles,TotalPasesGol,TotalGolesRecibidos,PorteriaImbatida,MinutosJugados
Manchester City,Ederson,"56,00 mill. €",17/08/1993,27,Brasil,"1,88 m",Portero,306,"2,17",0,0,251,145,27.227'
Manchester City,Zack Steffen,"6,00 mill. €",02/04/1995,25,Estados Unidos,"1,91 m",Portero,135,"1,53",0,0,187,38,12.240'
Manchester City,Scott Carson,500 mil €,03/09/1985,35,Inglaterra,"1,88 m",Portero,520,"1,44",0,0,657,153,46.770'
Manchester City,Rúben Dias,"70,00 mill. €",14/05/1997,23,Portugal,"1,87 m",Defensa central,244,"2,02",13,8,,0,21.641'
Manchester City,Aymeric Laporte,"50,00 mill. €",27/05/1994,26,Francia,"1,89 m",Defensa central,335,"1,88",17,10,,0,28.711'
Manchester City,Nathan Aké,"35,00 mill. €",18/02/1995,26,Países Bajos,"1,80 m",Defensa central,229,"1,45",17,12,,0,18.873'
Manchester City,John Stones,"30,00 mill. €",28/05/1994,26,Inglaterra,"1,88 m",Defensa central,294,"1,98",12,3,,0,22.807'
Manchester City,Eric García,"20,00 mill. €",09/01/2001,20,España,"1,83 m",Defensa central,83,"2,01",6,2,,0,6.753'
Manchester City,Philippe Sandler,"3,00 mill. €",10/02/1997,24,Países Bajos,"1,90 m",,0,0,0,0,0,0,0
Manchester City,Benjamin Mendy,"22,00 mill. €",17/07/1994,26,Francia,"1,85 m",Lateral izquierdo,272,"1,90",5,40,,0,22.206'
Manchester City,Oleksandr Zinchenko,"20,00 mill. €",15/12/1996,24,Ucrania,"1,75 m",Lateral izquierdo,155,"2,09",5,25,,0,10.902'
Manchester City,João Cancelo,"50,00 mill. €",27/05/1994,26,Portugal,"1,82 m",Lateral derecho,273,"1,81",11,42,,0,20.575'
Manchester City,Kyle Walker,"35,00 mill. €",28/05/1990,30,Inglaterra,"1,83 m",Lateral derecho,486,"2,00",11,46,,0,40.935'
Manchester City,Rodri,"70,00 mill. €",22/06/1996,24,España,"1,91 m",Pivote,266,"1,99",12,13,,0,19.219'
Manchester City,Fernandinho,"2,50 mill. €",04/05/1985,35,Brasil,"1,79 m",Pivote,630,"2,17",77,77,,0,49.534'
Manchester City,Phil Foden,"70,00 mill. €",28/05/2000,20,Inglaterra,"1,71 m",Mediocentro,153,"2,50",47,34,,0,9.237'
Manchester City,Ilkay Gündogan,"40,00 mill. €",24/10/1990,30,Alemania,"1,80 m",Mediocentro,451,"2,07",88,52,,0,32.780'
Manchester City,Kevin De Bruyne,"100,00 mill. €",28/06/1991,29,Bélgica,"1,81 m",Mediocentro ofensivo,482,"1,98",111,189,,0,36.789'
Manchester City,Bernardo Silva,"70,00 mill. €",10/08/1994,26,Portugal,"1,73 m",Mediocentro ofensivo,379,"2,20",70,66,,0,26.318'
Manchester City,Raheem Sterling,"100,00 mill. €",08/12/1994,26,Inglaterra,"1,70 m",Extremo izquierdo,432,"2,04",144,120,,0,32.497'
Manchester City,Ferran Torres,"50,00 mill. €",29/02/2000,21,España,"1,84 m",Extremo derecho,137,"1,82",18,20,,0,7.691'
Manchester City,Riyad Mahrez,"42,00 mill. €",21/02/1991,30,Argelia,"1,79 m",Extremo derecho,379,"1,82",94,84,,0,26.417'
Manchester City,Gabriel Jesus,"60,00 mill. €",03/04/1997,23,Brasil,"1,75 m",Delantero centro,235,"2,28",101,39,,0,14.948'
Manchester City,Sergio Agüero,"25,00 mill. €",02/06/1988,32,Argentina,"1,73 m",Delantero centro,652,"1,90",375,119,,0,47.944'
Liverpool FC,Alisson,"65,00 mill. €",02/10/1992,28,Brasil,"1,91 m",Portero,239,"2,01",0,0,220,103,21.407'
Liverpool FC,Caoimhin Kelleher,"2,50 mill. €",23/11/1998,22,Irlanda,"1,88 m",Portero,60,"1,63",0,0,93,16,5.400'
Liverpool FC,Adrián,"1,50 mill. €",03/01/1987,34,España,"1,90 m",Portero,253,"1,50",0,0,352,76,22.702'
Liverpool FC,Virgil van Dijk,"70,00 mill. €",08/07/1991,29,Países Bajos,"1,93 m",Defensa central,395,"1,92",43,18,,0,34.581'
Liverpool FC,Joe Gomez,"35,00 mill. €",23/05/1997,23,Inglaterra,"1,88 m",Defensa central,154,"2,06",1,5,,0,11.632'
Liverpool FC,Ozan Kabak,"25,00 mill. €",25/03/2000,21,Turquía,"1,86 m",Defensa central,84,"1,11",6,1,,0,6.787'
Liverpool FC,Joel Matip,"25,00 mill. €",08/08/1991,29,Camerún,"1,95 m",Defensa central,422,"1,79",40,22,,0,33.700'
Liverpool FC,Rhys Williams,"5,00 mill. €",03/02/2001,20,Inglaterra,"1,95 m",Defensa central,84,"2,01",8,5,,0,7.051'
Liverpool FC,Nathaniel Phillips,"5,00 mill. €",21/03/1997,24,Inglaterra,"1,90 m",Defensa central,61,"1,90",3,1,,0,4.790'
Liverpool FC,Ben Davies,"3,00 mill. €",11/08/1995,25,Inglaterra,"1,85 m",Defensa central,250,"1,42",3,6,,0,21.525'
Liverpool FC,Andrew Robertson,"70,00 mill. €",11/03/1994,27,Escocia,"1,78 m",Lateral izquierdo,368,"1,79",17,54,,0,31.550'
Liverpool FC,Konstantinos Tsimikas,"8,00 mill. €",12/05/1996,24,Grecia,"1,79 m",Lateral izquierdo,160,"1,86",9,19,,0,13.276'
Liverpool FC,Trent Alexander-Arnold,"100,00 mill. €",07/10/1998,22,Inglaterra,"1,80 m",Lateral derecho,187,"2,20",13,44,,0,14.895'
Liverpool FC,Neco Williams,"10,00 mill. €",13/04/2001,19,Gales,"1,83 m",Lateral derecho,97,"1,66",3,12,,0,7.597'
Liverpool FC,Fabinho,"60,00 mill. €",23/10/1993,27,Brasil,"1,88 m",Pivote,375,"1,97",36,30,,0,30.720'
Liverpool FC,Naby Keïta,"38,00 mill. €",10/02/1995,26,Guinea,"1,72 m",Mediocentro,250,"1,99",48,39,,0,17.204'
Liverpool FC,Georginio Wijnaldum,"35,00 mill. €",11/11/1990,30,Países Bajos,"1,75 m",Mediocentro,557,"1,87",116,56,,0,43.687'
Liverpool FC,Thiago,"35,00 mill. €",11/04/1991,29,España,"1,74 m",Mediocentro,408,"2,26",45,57,,0,28.170'
Liverpool FC,Curtis Jones,"30,00 mill. €",30/01/2001,20,Inglaterra,"1,85 m",Mediocentro,123,"1,79",48,20,,0,9.203'
Liverpool FC,Jordan Henderson,"22,00 mill. €",17/06/1990,30,Inglaterra,"1,87 m",Mediocentro,484,"1,81",36,64,,0,37.200'
Liverpool FC,Alex Oxlade-Chamberlain,"20,00 mill. €",15/08/1993,27,Inglaterra,"1,75 m",Mediocentro,346,"1,94",43,52,,0,18.122'
